Open,High,Low,Close,Adj Close,Volume
209.0,210.6699981689453,207.08999633789062,209.2100067138672,208.07749938964844,3177300
207.4499969482422,209.52000427246094,206.0399932861328,209.19000244140625,208.05758666992188,1878000
207.97999572753906,208.22000122070312,204.8699951171875,207.94000244140625,206.8143768310547,1686200
207.32000732421875,207.7899932861328,200.72000122070312,202.0,200.90650939941406,3033300
201.1999969482422,203.3300018310547,198.58999633789062,199.88999938964844,198.8079376220703,2879000
202.75999450683594,202.75999450683594,198.52999877929688,201.77000427246094,200.67776489257812,1858100
201.19000244140625,202.0800018310547,199.00999450683594,199.3800048828125,198.3007049560547,2187600
199.3699951171875,199.55999755859375,191.99000549316406,194.75999450683594,193.70570373535156,2686000
193.86000061035156,196.58999633789062,192.36000061035156,193.86000061035156,192.8105926513672,3197900
194.16000366210938,201.35000610351562,192.4600067138672,201.1300048828125,200.04122924804688,2747800
